,carlsen,chess,tournament,wins,championship,rapid,blitz,classical,win,world
"And conversely, it is important for chess players to be physically fit to be able to deliver top performance.",False,True,False,False,False,False,False,False,False,False
"In 2004, following a two-game rapid match with Kasparov in Reykjavik, Magnus was quoted saying, I was not at all happy with my 0.5-1.5 against Kasparov in the rapid chess game, I should have won as White.",False,True,False,False,False,True,False,False,True,False
"He earned the title of grandmaster at age 13, the same year he beat former world champion Anatoly Karpov and drew a game with Kasparov, almost beating the longtime world No.",False,False,False,False,False,False,False,False,False,True
"However, a string of six wins in a row thrust Carlsen into clear first place.",False,False,False,True,False,False,False,False,True,False
"[178] Carlsen then lost in round 8 to Richrd Rapport , and ultimately placed second with 8/13 (+41=8), one point behind winner Wesley So.",False,False,False,False,False,False,False,False,True,False
"^ ""Chess News  Anand in Playchess  the helpers in Sofia"" .",False,True,False,False,False,False,False,False,False,False
"In 2013, Time magazine named Carlsen one of the 100 most influential people in the world .",False,False,False,False,False,False,False,False,False,True
"After finishing primary school, Carlsen took a year off to participate in international chess tournaments in Europe during the autumn of 2003, then returned to complete secondary education at a sports school.",False,True,True,False,False,False,False,False,False,False
"On 1 October, Carlsen won the Isle of Man Open, a tournament held from 23 September to 1 October.",False,False,True,False,False,False,False,False,False,False
theweekinchess.com .,False,True,False,False,False,False,False,False,False,False
"Training at that level is both mentally and physically draining; committing to another world championship would have meant six more months of that grind, followed by a rematch with Nepomniachtchi .",False,False,False,False,True,False,False,False,False,True
Categories : Magnus Carlsen 1990 births Living people Norwegian chess players World chess champions Chess grandmasters Chess Olympiad competitors Norwegian male models Norwegian social democrats Sportspeople from Tnsberg Sportspeople from Brum Hidden categories: CS1 Norwegian-language sources (no) Articles with Norwegian-language sources (no) CS1 uses Russian-language script (ru) CS1 Russian-language sources (ru) CS1 German-language sources (de) IMDb ID different from Wikidata Articles with short description Short description matches Wikidata Use dmy dates from August 2022 EngvarB from November 2018 Articles with hCards All pages needing factual verification Wikipedia articles needing factual verification from July 2019 Articles containing potentially dated statements from September 2021 All articles containing potentially dated statements Articles containing potentially dated statements from 2022 Articles containing potentially dated statements from 2012 Pages using Sister project links with wikidata namespace mismatch Pages using Sister project links with hidden wikidata Articles with ISNI identifiers Articles with VIAF identifiers Articles with WORLDCATID identifiers Articles with BIBSYS identifiers Articles with BNE identifiers Articles with BNF identifiers Articles with CANTICN identifiers Articles with GND identifiers Articles with LCCN identifiers Articles with NKC identifiers Articles with NTA identifiers Articles with PLWABN identifiers Articles with FAST identifiers Articles with SUDOC identifiers Good articles.,False,True,False,False,False,False,False,False,False,False
"""Caruana wins London Classic, but Carlsen takes the Tour"" .",False,False,False,True,False,False,False,False,True,False
"In July, Carlsen won the 9th edition of the Bilbao Masters Final, scoring 17 points out of 10 games (+41=5; a win was 3 points, a draw was 1 point).",False,False,False,False,False,False,False,False,True,False
"^ ""World chess champion Magnus Carlsen launches app"" .",False,True,False,False,False,False,False,False,False,False
"A carefully scripted and bland press release announced that the world No1, Magnus Carlsen, would make his own career decisions for 2010 and that he and the all-time No1, Garry Kasparov, would cease their regular training sessions launched early last year.",False,False,False,False,False,False,False,False,False,True
The winner on tiebreak: Liviu Dieter Nisipeanu.,False,False,False,False,False,False,False,False,True,False
"At the 2006 international 'Bosna' tournament in Sarajevo , Carlsen shared first place with Liviu-Dieter Nisipeanu (who won on tiebreak evaluation) and Vladimir Malakhov; this could be regarded as Carlsen's first ""A"" elite tournament win, although it was not a clear first.",False,False,True,False,False,False,False,False,True,False
Carlsen then defeated Vachier-Lagrave in the playoff to win the tournament.,False,False,True,False,False,False,False,False,True,False
"Even after last years world championship, where he won 7.5 of 11 games against the fifth-ranked player in the world ( rated 2782 ), Carlsens rating jumped by just 9 points, from 2856 to 2865.",False,False,False,False,True,False,False,False,False,True
"Although Carlsen had a slow start, including a loss against bottom-ranked Francisco Vallejo Pons , he finished +31=6, equal with Ivanchuk (whose +43=3 finish was equal due to three points for a win).",False,False,False,False,False,False,False,False,True,False
"Playing in Group A of the 71st Corus chess tournament , Carlsen tied for fifth with a 2739 PR.",False,True,True,False,False,False,False,False,False,False
"[134] This win, the third time Carlsen had won the tournament in the past four years, increased his rating from 2848 to a new record of 2861, breaking Kasparov's 13-year record of 2851.",False,False,True,False,False,False,False,False,True,False
"[113] This was the only tournament in 2010 to feature Anand, Carlsen and Topalov, at the time the top three players in the world, and was the first tournament in history to feature three players rated at least 2800.",False,False,True,False,False,False,False,False,False,True
tournament site.,False,False,True,False,False,False,False,False,False,False
"This resulted in a shared ninth place in the blindfold, shared second place in the rapid (behind Anand), and a shared eighth place overall.",False,False,False,False,False,True,False,False,False,False
2700chess.com.,False,True,False,False,False,False,False,False,False,False
"There are two ways to look at this news: One is with shock, given that Carlsen is maybe the greatest chess player of all time , at arguably the peak of his powers, with a good chance to win a sixth world title in 2023.",False,True,False,False,False,False,False,False,True,True
"In a wild and exciting final round, Vladimir Kramnik of Russia, the former world champion, drew his last game to claim the 2009 Tal Memorial tournament title.",False,False,True,False,False,False,False,False,False,True
"^ ""Magnus Carlsen, an unlikely chess master"" .",False,True,False,False,False,False,False,False,False,False
Learn chess.,False,True,False,False,False,False,False,False,False,False
"I use lots of Psychology in chess and I am guessing your nationality from the ""body language"" of your comments.",False,True,False,False,False,False,False,False,False,False
The Norwegian grandmaster came to New York for a week in August to run a chess camp with Chess NYC and to hold this event at the Marshall Chess Club .,False,True,False,False,False,False,False,False,False,False
"He finished with 7/10 and a 2918 PR, winning the tournament by two points ahead of Radjabov and Gelfand.",False,False,True,False,False,False,False,False,True,False
"In winter, there will be snow for months on end.",False,False,False,False,False,False,False,False,True,False
"""Magnus Carlsen wins Grand Chess Tour  Paris in exciting finish"" .",False,False,False,True,False,False,False,False,True,False
"^ ""Chess Oscar winner Carlsen to be tested for doping"" .",False,False,False,False,False,False,False,False,True,False
Then followed three draws until Agdestein won the championship title with a victory in the sixth rapid game.,False,False,False,False,True,True,False,False,False,False
"[119] Although Carlsen's performance raised his rating from 2814 to 2815, Anand's 8/13 score elevated his rating to 2817, making him the world No.",False,False,False,False,False,False,False,False,False,True
"In the knockout tournament, he upset 44th-ranked Zurab Azmaiparashvili in round one, and proceeded to defeat Farrukh Amonatov and Ivan Cheparinov to reach the round of 16.",False,False,True,False,False,False,False,False,False,False
"[115] After the tournament, Carlsen played a private 40-game blitz match against Hikaru Nakamura, [116] winning with a score of 2415.",False,False,True,False,False,False,True,False,True,False
"He added, I dont rule out a return [to world championship matches] in the future, but I wouldnt particularly count on it, either.",False,False,False,False,True,False,False,False,False,True
"With a score of 9/13 (+50=8), [212] half a point ahead of Giri, he won the tournament for a record-extending seventh time.",False,False,True,False,False,False,False,False,False,False
"From 24 to 25 November, Carlsen took part in the chess festival ""Segunda Gran Fiesta Internacional de Ajedrez"" in Mexico City .",False,True,False,False,False,False,False,False,False,False
"However, he finished the tournament strongly, scoring victories against Peter Leko and Radoslaw Wojtaszek , the latter of whom he had lost to earlier in the year, but his performance was not enough to earn his team a medal, and he lost 16 rating points during the event.",False,False,True,False,False,False,False,False,False,False
"He won after defeating Hikaru Nakamura in a tiebreak match, drawing the first game with black and winning the second game with the white pieces.",False,False,False,False,False,False,False,False,True,False
"Carlsen evened the score in Game 10, though, and eventually won two rapid games as a tiebreaker.",False,False,False,False,False,True,False,False,False,False
Coming soon in chess: check it out!,False,True,False,False,False,False,False,False,False,False
"^ ""Nordic Semiconductor ASA : Magnus Carlsen, the best player in chess history, becomes an ambassador for Nordic Semiconductor in three-year sponsorship deal..."" 4-traders.com.",False,True,False,False,False,False,False,False,False,False
This was Carlsen's fourth consecutive win of the prestigious super tournament and fifth overall in the last decade.,False,False,True,False,False,False,False,False,True,False
"Tournaments organized by FIDE (Olympiads, World Championships, World Cups, FIDE Grand Swiss and Candidates tournaments).",False,False,True,False,False,False,False,False,False,False
"[248] Carlsen said he enjoyed playing chess tournaments more than championships, [249] and would still continue playing professional chess.",False,True,True,False,True,False,False,False,False,False
Frchess.com .,False,True,False,False,False,False,False,False,False,False
"three points for a win, one for a draw and zero for a loss.",False,False,False,False,False,False,False,False,True,False
"He finished in sole second place,  point behind the winner World Champion Viswanathan Anand.",False,False,False,False,False,False,False,False,True,False
"Film director J. J. Abrams offered Carlsen a role in the movie Star Trek Into Darkness as ""a chess player from the future"", but Carlsen was unable to get a work permit in time for shooting.",False,True,False,False,False,False,False,False,False,False
"^ ""Teimour Radjabov wins Cap d'Agde"" .",False,False,False,True,False,False,False,False,True,False
"'Im not a freak, Im just curious say Magnus Carlsen, 20, Norwegian chess genius.",False,True,False,False,False,False,False,False,False,False
"He placed second with 5/9,  a point behind the winner Karjakin.",False,False,False,False,False,False,False,False,True,False
Based on a work at www.chess.fm/blog .,False,True,False,False,False,False,False,False,False,False
"I was playing a bit online, was using the chess club mainly.",False,True,False,False,False,False,False,False,False,False
"^ ""Sergey Karjakin wins Wijk aan Zee 2009"" .",False,False,False,True,False,False,False,False,True,False
"[54] In the Biel Grandmaster Tournament , he placed second, beating the tournament winner Alexander Morozevich twice.",False,False,True,False,False,False,False,False,True,False
"Carlsen: ""Just have fun, play games, a lot if you want, read chess books.",False,True,False,False,False,False,False,False,False,False
"^ ""Media Kings Rd10: CarlsenKarjakin draw, Carlsen wins Medias 2011"" .",False,False,False,True,False,False,False,False,True,False
Carlsen then won the blitz tiebreak against Ivanchuk.,False,False,False,False,False,False,True,False,False,False
"It's sad that the world champion is so super boring, super bland and insipid.",False,False,False,False,False,False,False,False,False,True
"""Shrewd marketing moves for top-ranked chess player"" .",False,True,False,False,False,False,False,False,False,False
"^ ""Magnus  the chess movie"" .",False,True,False,False,False,False,False,False,False,False
"^ ""Aerosvit 2008: Carlsen wins by a full point"" .",False,False,False,True,False,False,False,False,True,False
"He won this tournament convincingly, scoring 11/18 (+31=5; two points for a win) in the rapid portion and 14/18 (+121=5) in the blitz portion for an overall score of 25/36, three points ahead of the runner-up, Wesley So.",False,False,True,False,False,True,True,False,True,False
Kasparov vs. Putin no chance Garry better return to chess.,False,True,False,False,False,False,False,False,False,False
"The match was closely foughtAgdestein won the first game, Carlsen the secondso it went into a series of two-game rapid matches until there was a winner.",False,False,False,False,False,True,False,False,True,False
Will he play in the chess Olympics?,False,True,False,False,False,False,False,False,False,False
norwaychess.no .,False,True,False,False,False,False,False,False,False,False
"The tournaments top seed has taken the lead, while its oldest competitor has stayed unbeaten despite playing several of the worlds best players.",False,False,True,False,False,False,False,False,False,True
"There is a lot of preparation required before a big tournament, but I like to think I know when to be focused and when to relax.",False,False,True,False,False,False,False,False,False,False
"[73] In June, Carlsen won the annual Aerosvit chess tournament , [74] finishing undefeated with 8/11 in a category 19 field and achieving a PR of 2877, his best PR at that point in his career.",False,True,True,False,False,False,False,False,False,False
"The last round also included what was probably the last classical game between Vishy Anand and Boris Gelfand, before they will meet for their World Championship match next year, also in Moscow.",False,False,False,False,False,False,False,True,False,False
"The system assigns each player a rating based on past results, and those ratings change based on players prematch win probabilities.",False,False,False,False,False,False,False,False,True,False
"Carlsen won a rapid match against Peter Leko held in Miskolc , Hungary, scoring 53.",False,False,False,False,False,True,False,False,False,False
3rd Pearl Spring chess tournament.,False,True,True,False,False,False,False,False,False,False
"^ ""Magnus Carlsen on his chess career"" .",False,True,False,False,False,False,False,False,False,False
"On 3 January he defeated Nakamura 189 in the final, thus winning the tournament for a second time in a row.",False,False,True,False,False,False,False,False,True,False
"[Going from] four championships to five, it didnt mean anything to me.",False,False,False,False,True,False,False,False,False,False
"He finished with +52=7, and won the tournament on tiebreak over Vladimir Kramnik.",False,False,True,False,False,False,False,False,False,False
"He even provided proof, oddly enough in form of a chessbase.com.",False,True,False,False,False,False,False,False,False,False
"Carlsen had a poor start to the tournament with two draws and a loss in the third round to Radosaw Wojtaszek , which left him in tenth place among the fourteen players.",False,False,True,False,False,False,False,False,False,False
2 in the FIDE blitz rating list with Elo ratings of 2832.,False,False,False,False,False,False,True,False,False,False
"He finished with a score of 9/13, with no losses and six wins, including wins against Shakhriyar Mamedyarov and Fabiano Caruana .",False,False,False,True,False,False,False,False,True,False
What an amazing finish to the tournament.,False,False,True,False,False,False,False,False,False,False
"Particularly notable was his win over Sipke Ernst in the penultimate round, when he sacrificed material to give mate in just 29 moves.",False,False,False,False,False,False,False,False,True,False
"An artificial intelligence approach, designed by Jean-Marc Alliot of the Institut de recherche en informatique de Toulouse (""Toulouse Computer Science Research Institute""), which compares chess grandmaster moves against that of Stockfish a chess engine that outperforms all human opponentsrated Carlsen as the best player of all time as he had the highest probability among all World Chess Champions to play the moves which Stockfish suggested.",False,True,False,False,False,False,False,False,False,False
I worked from the age of nine with a trainer once a week but I would also just sit at home with the board and some chess books.,False,True,False,False,False,False,False,False,False,False
"[22] The following month, he tied for first place in the 2002 World Under-12 Championship in Heraklion , placing second to Ian Nepomniachtchi on tiebreak.",False,False,False,False,False,False,False,False,True,False
"^ ""World Blitz Championship: Carlsen wins by three-point margin"" .",False,False,False,True,False,False,False,False,True,False
"Carlsen cited the first rapid game as ""critical"", and said he felt ""very calm"" after winning it.",False,False,False,False,False,True,False,False,True,False
"Carlsen started with a loss against Caruana, but after three wins in the second (Bilbao) round, finished +41=5, equal first with Caruana, and ahead of Aronian, Karjakin and Anand.",False,False,False,True,False,False,False,False,True,False
"^ ""Sinquefield 06: Magic Magnus Swindles"" .",False,False,False,False,False,False,False,False,True,False
"Kramnik led from Round 6 on and finished with three wins,.",False,False,False,True,False,False,False,False,True,False
Carlsen also plays speed chess online under many screen names.,False,True,False,False,False,False,False,False,False,False
"Rubbish, he ended points after Kramnik and was crushed by the winner.",False,False,False,False,False,False,False,False,True,False
chess-results.com .,False,True,False,False,False,False,False,False,False,False
and was understandably overshadowed by the other two boards where the championships.,False,False,False,False,True,False,False,False,False,False
He also holds the record for the longest unbeaten streak at the elite level in classical chess.,False,True,False,False,False,False,False,True,False,False
"He surpassed Garry Kasparovs record mark of 2851 after winning the London Chess Classic in December 2012, and he has stayed above that peak for most of the past decade .",False,False,False,False,False,False,False,False,True,False
"""Miskolc: Carlsen wins the rapid chess match 5:3"" .",False,True,False,True,False,True,False,False,True,False
"Carlsen won the 44th Biel Grandmaster tournament , held from 16 to 29 July.",False,False,True,False,False,False,False,False,False,False
"Its also experiencing a boom in popularity, driven in part by the COVID-19 pandemic and experienced by many people who have never played chess on a physical board.",False,True,False,False,False,False,False,False,False,False
"Of course, but Anand didn't see a (clear) win, simple as that.",False,False,False,False,False,False,False,False,True,False
TikTok superstar Snappy Gilmore talks CNN through his signature one-handed swing.,False,False,False,False,False,False,False,False,True,False
Rapid chess.,False,True,False,False,False,False,False,False,False,False
"He scored 11/15 in the rapid tournament, finishing third on tiebreak behind Ivanchuk and Grischuk.",False,False,True,False,False,True,False,False,False,False
"^ ""Unibet extends global sponsorship with five-time chess World Champion Magnus Carlsen"" .",False,True,False,False,False,False,False,False,False,False
"Carlsen had finished joint first with Naiditsch on 4/7, beating Michael Adams, Anand, and David Baramidze , and losing to Naiditsch in their classical encounter.",False,False,False,False,False,False,False,True,False,False
"^ ""Linares R14: Anand wins Morelia/Linares by a full point"" .",False,False,False,True,False,False,False,False,True,False
"Assume a world champion who successfully defends his title for 10 years, and has not win a single tourneo during this period!!",False,False,False,False,False,False,False,False,True,True
[220] This was Carlsen's eighth consecutive tournament victory.,False,False,True,False,False,False,False,False,False,False
"In March, Carlsen played for the second time in the Melody Amber blind and rapid chess tournament, held in Nice for the first time.",False,True,True,False,False,True,False,False,False,False
"Every year, the Australian radio station Triple J conducts the worlds largest online music poll to... hot list.",False,False,False,False,False,False,False,False,False,True
"Anand won world chess championships winning championship in many categories (matches/tournament, FIDE-split/FIDE-unified title, classical/rapid).",False,True,True,False,True,True,False,True,True,True
"[422] In 2017, Carlsen made a special guest appearance on The Simpsons in an episode where Homer's chess history is revealed.",False,True,False,False,False,False,False,False,False,False
With Power Fritz 18 you have the world champion program on your PC!,False,False,False,False,False,False,False,False,False,True
"He is a chess prodigy for sure, but when a world champion does not manage to win a single tourneo between 2 WCC matches, then something is wrong.",False,True,False,False,False,False,False,False,True,True
"Carlsen would have won the classical tournament on the traditional 10 scoring system, with 7/10.",False,False,True,False,False,False,False,True,False,False
20th Amber chess tournament [267].,False,True,True,False,False,False,False,False,False,False
"""I didnt win Dortmund  while I could well have won them with a bit more luck.",False,False,False,False,False,False,False,False,True,False
His overall score in the tournament was 16/21 (+131=7).,False,False,True,False,False,False,False,False,False,False
"[40] In the semifinals of the Ciudad de Len rapid chess tournament in June, Carlsen played a four-game match against Viswanathan Anand, who was ranked No.",False,True,True,False,False,True,False,False,False,False
"^ ""World chess champion hits No 1 in world for Fantasy Premier League"" .",False,True,False,False,False,False,False,False,False,True
"As an elite chess player, I have to travel all over the world, taking part in tournaments.",False,True,True,False,False,False,False,False,False,True
1 rated player in the world.,False,False,False,False,False,False,False,False,False,True
"He scored 5/9 (+20=7) in the event, defeating Nakamura (thus inflicting Nakamura's 12th classical loss to Carlsen) and Grischuk, and finished joint first with Anish Giri and Maxime Vachier-Lagrave .",False,False,False,False,False,False,False,True,False,False
"Chess aside, it is a great way to see the world, whether it is Russia, China, India or somewhere closer to home, like Holland, a country I always enjoy visiting.",False,False,False,False,False,False,False,False,False,True
"Is it fair for chess fans to wish he took more chances, like Kramnik, Aronian, Carlsen and Nakamura?",False,True,False,False,False,False,False,False,False,False
"From top tournaments to matches, and entertainment to serious discussions, ChessVibes brings you the latest chess news featuring the most famous players and the world's biggest events, with top stories, background coverage and many, many videos.",False,True,True,False,False,False,False,False,False,True
"Originally, it was my father who gave me my passion for chess.",False,True,False,False,False,False,False,False,False,False
"[110] Carlsen finished this tournament with a rating of 2802, two points behind Anand at 2804 who temporarily ended Carlsen's reign at world No.",False,False,True,False,False,False,False,False,False,True
"1 in the world"" .",False,False,False,False,False,False,False,False,False,True
"Announcements like Carlsens arent uncommon across the sports world  see, for example, Michael Jordan , Michael Phelps or Ashleigh Barty  but they always seem surprising.",False,False,False,False,False,False,False,False,False,True
"He has stated the middlegame is his favourite part of the game as it ""comes down to pure chess"".",False,True,False,False,False,False,False,False,False,False
"The ultimate chess experience every day, PlayChess.com welcomes 20,000 chess players from all around the world  from beginner to grandmaster.",False,True,False,False,False,False,False,False,False,True
"Viswanathan Anand of India, the world champion, was in second place before the last round, with a chance to catch Kramnik if he won and he had White.",False,False,False,False,False,False,False,False,False,True
"He started well, scoring 2 wins and 4 draws in his first 6 games, but missed mate-in-3 versus Giri in round 7, which Giri described as ""the most embarrassing moment"" of Carlsen's career.",False,False,False,True,False,False,False,False,True,False
Carlsen is pictured playing football in Velsen-Zuid prior to a chess tournament in 2017.,False,True,True,False,False,False,False,False,False,False
"Carlsen won the tournament by scoring 9 points out of 13 (+50=8), earning him his 5th Wijk Aan Zee title.",False,False,True,False,False,False,False,False,False,False
"Eventually, Aronian eliminated Carlsen from the tournament after winning both tiebreak blitz games.",False,False,True,False,False,False,True,False,True,False
Ukrchess.org.ua.,False,True,False,False,False,False,False,False,False,False
"[427] Based in Oslo, Norway, Play Magnus' first product was an iOS app, called Play Magnus , that allows the user to play a chess engine created using a database of thousands of Carlsen's recorded games from the age of five and up.",False,True,False,False,False,False,False,False,False,False
[games 2] This was Carlsen's first win against a 2800+ player.,False,False,False,False,False,False,False,False,True,False
"""World chess champion to give up title because he's just 'not motivated' "" .",False,True,False,False,False,False,False,False,False,False
"However, somehow it came as a small surprise anyway, because not many had really thought about what the the tiebreak rules would mean for the tournament situation.",False,False,True,False,False,False,False,False,False,False
"Petrosian did not win many tournaments during his reign, and he was a worthy champion according to all GM commentaries that I have seen.",False,False,True,False,False,False,False,False,True,False
"Carlsen was one of 21 players in the six-tournament FIDE Grand Prix 20082010 , a qualifier for the World Chess Championship 2012 .",False,False,True,False,False,False,False,False,False,False
"He defended his classical world title against Sergey Karjakin in 2016 , against Fabiano Caruana in 2018 , and against Ian Nepomniachtchi in 2021 .",False,False,False,False,False,False,False,True,False,True
"""Sinquefield 09: Aronian wins tournament"" .",False,False,True,True,False,False,False,False,True,False
2nd UNAM Chess Festival (Blindfold tournament ) [274].,False,False,True,False,False,False,False,False,False,False
Magnus Carlsen beats Fabiano Caruana to win World Chess Championship.,False,False,False,False,False,False,False,False,True,False
He also defeated the winner Wang in both of their individual games.,False,False,False,False,False,False,False,False,True,False
"^ ""Bilbao Rd10: Carlsen takes title in blitz tiebreak"" .",False,False,False,False,False,False,True,False,False,False
Co-winner Vladimir Malakhov.,False,False,False,False,False,False,False,False,True,False
"As of 2012 [update] , Carlsen is the only active chess professional with a full-time manager ; Espen Agdestein , a FIDE Master and brother of Carlsen's former trainer Simen Agdestein , began working as an agent for Carlsen in late 2008.",False,True,False,False,False,False,False,False,False,False
Viswanathan Anand retains world title.,False,False,False,False,False,False,False,False,False,True
"""Sinquefield Cup: Three winners (one playoff)!"" .",False,False,False,False,False,False,False,False,True,False
"It was the second consecutive win for Carlsen, who had drawn his first seven games.",False,False,False,False,False,False,False,False,True,False
"Men of stature: Magnus Carlsen was attracted to chess due to its intellectual, civilised players.",False,True,False,False,False,False,False,False,False,False
"^ ""Carlsen catches Aronian in last round, wins Tal Memorial on tiebreak"" .",False,False,False,True,False,False,False,False,True,False
"Despite losing games with white against Anish Giri and reigning Russian champion Ian Nepomniachtchi , Carlsen finished with 8/13, including victories over Kramnik and tournament winner Nakamura.",False,False,True,False,False,False,False,False,True,False
"In the top group A of the 69th Corus chess tournament , Carlsen scored 8/13, achieving a PR of 2830.",False,True,True,False,False,False,False,False,False,False
"In May, Carlsen played in the first edition of Norway Chess tournament.",False,False,True,False,False,False,False,False,False,False
List of chess players by peak FIDE rating.,False,True,False,False,False,False,False,False,False,False
"Tiebreak systems: most blacks, head-to-head, Coya, S-B, number of wins - in that order.",False,False,False,True,False,False,False,False,True,False
"Scoring 6/11 in the blindfold and 8/11 in the rapid, Carlsen accumulated 14 from a possible 22 points.",False,False,False,False,False,True,False,False,False,False
"At top level tournaments, theres simply no excuse for not playing out the games.""",False,False,True,False,False,False,False,False,False,False
"[64] Immediately after the Biel tournament, Carlsen entered the open Arctic Chess Challenge in Troms, but his fourth-place result with +5=4 was a slight underperformance in terms of rating.",False,False,True,False,False,False,False,False,False,False
"His father, a keen amateur chess player, [9] taught him to play at age 5, although he initially showed little interest in it.",False,True,False,False,False,False,False,False,False,False
"[105] Following this event, Carlsen suffered setbacks in his next two tournaments.",False,False,True,False,False,False,False,False,True,False
"He joined the lead with a win over Howell in round 5, and managed to stay in the lead following a harrowing draw against Kramnik in round 6, before defeating Short in the last round.",False,False,False,False,False,False,False,False,True,False
"He tied for first with Caruana and Aronian on 5/9 (+20=7), and jointly won the tournament after the trio decided to share the title.",False,False,True,False,False,False,False,False,False,False
"After drawing games 1 and 2, Carlsen won games 3 and 4 to record a 31 victory and retain his World Champion title.",False,False,False,False,False,False,False,False,True,False
"1 American player, Carlsen sacrifices the exchange to achieve a winning position in an otherwise near-equal game.",False,False,False,False,False,False,False,False,True,False
Magnus Carlsen chess games at 365Chess.com.,False,True,False,False,False,False,False,False,False,False
"Anand beats Gelfand in tiebreak, retains world title (VIDEO).",False,False,False,False,False,False,False,False,False,True
compatible chess programs .,False,True,False,False,False,False,False,False,False,False
"[234] He ultimately won the tournament with a round to spare, [236] finishing on 19 points, one point ahead of runner-up Alireza Firouzja .",False,False,True,False,False,False,False,False,False,False
"He lost to eventual winner Alexei Shirov in their final game, dropping him from first.",False,False,False,False,False,False,False,False,True,False
World Cup winner Peter Svidler eventually finished OK with a 50% score thanks to a last-round win against Vladimir Kramnik.,False,False,False,False,False,False,False,False,True,False
Tag : Twinkle.,False,False,False,False,False,False,False,False,True,False
"Carlsen won the match 63 by winning games five, six and nine and drawing the remainder, becoming the new World Chess Champion.",False,False,False,False,False,False,False,False,True,False
"""Magnus Carlsen pays for poor start as Daniil Dubov wins World Rapid Chess"" .",False,False,False,True,False,False,False,False,True,False
"[128] At the blitz chess tournament at Tal Memorial, held in Moscow on 7 June, Carlsen shared first place with Morozevich.",False,True,True,False,False,False,True,False,False,False
"I think its about legacy  he wants to do something for the chess world, and for someone in the chess world."".",False,True,False,False,False,False,False,False,False,True
Thousands worldwide play professionally or earn a living by teaching it to children.,False,False,False,False,False,False,False,False,False,True
"10 [39] in the world, as well as the co-winner of the tournament.",False,False,True,False,False,False,False,False,True,True
"So it is easy to think back to Kasparovs stormy disagreements with fellow grandmasters in the 1980s and the 1990s, when he had the reputation of a serial killer of chess organisations, or to his long feuds with Anatoly Karpov and Vlad Kramnik.",False,True,False,False,False,False,False,False,False,False
One of the things that first motivated me to take up chess as a child was the desire to beat my elder sister.,False,True,False,False,False,False,False,False,False,False
What does he think about computer chess?,False,True,False,False,False,False,False,False,False,False
"In the first round, Carlsen lost with black to Kramnik; this was Carlsen's second consecutive loss to Kramnik, and placed his hold on the world No.",False,False,False,False,False,False,False,False,False,True
Right now my intention is to play in [an upcoming tournament] and well see what happens from there.,False,False,True,False,False,False,False,False,False,False
The 101 games consisted of 33 wins and 68 draws.,False,False,False,True,False,False,False,False,True,False
According to the newspaper Verdens Gang the goal is to make you the world's best during the course of the coming year.,False,False,False,False,False,False,False,False,False,True
"^ ""Blindfold king Kramnik wins 16th Amber Tournament"" .",False,False,False,True,False,False,False,False,True,False
"[373] This meant that Carlsen became, at the age of 19 years and 32 days, the youngest ever world No.",False,False,False,False,False,False,False,False,False,True
"General info Archive date: Sun, 09 Jan 2022 13:40:33 GMT Pages like this See other archives of this page See other archives of www.telegraph.co.uk Archived page not showing up?",False,False,False,False,False,False,False,False,True,False
For me right now I think being the world number one is a bigger deal than being the world champion because I think it shows better who plays the best chess.,False,True,False,False,False,False,False,False,False,True
"Billed as the strongest chess tournament ever held, the remaining 4 players in the event were Levon Aronian , Hikaru Nakamura , Veselin Topalov , and Maxime Vachier-Lagrave .",False,True,True,False,False,False,False,False,False,False
"One of the things that first attracted me to chess is that it brings you into contact with intelligent, civilised people  men of the stature of Garry Kasparov, the former world champion, who was my part-time coach.",False,True,False,False,False,False,False,False,False,True
http://chess.liverating.org.,False,True,False,False,False,False,False,False,False,False
"Ultimately, he placed ninth in the round-robin tournament with 4/9 (+12=6), losing to Aronian and Kramnik and winning against Karjakin.",False,False,True,False,False,False,False,False,True,False
"Also, a great tournament for Nepo who held is own against the more famous players.",False,False,True,False,False,False,False,False,False,False
"But the other is without, given that Carlsen hinted several times that he had played his last world championship match in December.",False,False,False,False,True,False,False,False,False,True
"Last weekend a German chess player played a simultaneous exhibition blindfolded over 46 boards in Sontheim an der Brenz, Germany.",False,True,False,False,False,False,False,False,False,False
"[games 6] Playing against one of the leading Chinese GMs , Carlsen finds a winning attack by sacrificing his queen in a sharp position.",False,False,False,False,False,False,False,False,True,False
"""Levon Aronian wins Norway Chess 2017!"" .",False,False,False,True,False,False,False,False,True,False
"[256] Carlsen's previous results still affect his FIDE rating; however, they will be removed from the tournament standing.",False,False,True,False,False,False,False,False,False,False
"rounds Swiss); a Rapid and a Blitz tournament; Chess960; Youth, Simultaneous,.",False,False,True,False,False,False,False,False,False,False
"I am currently ranked No 2 in the world, having slipped from No 1, but I want to get the top spot back and become world champion as well.",False,False,False,False,False,False,False,False,False,True
"There are very few unpleasant people in chess, which cannot be said of all professional sports.",False,True,False,False,False,False,False,False,False,False
"^ ""Tata R13: Karjakin, Wang score, Carlsen wins Wijk by 1 points"" .",False,False,False,True,False,False,False,False,True,False
"""Carlsen wins Norway Chess"" .",False,False,False,True,False,False,False,False,True,False
At least not this tournament.,False,False,True,False,False,False,False,False,False,False
"""Medias R10: Magnus Carlsen wins with two-point lead"" .",False,False,False,True,False,False,False,False,True,False
